Version,Config,Bench,n,fail,perf,perf_adj,std%,sem%,peak_memory,weight,,
v0.0.7_ROCm5.7,MI250 x 8,convnext_large-fp32,8,0,11.99,11.99,0.80%,0.10%,46592,,,
v0.0.7_ROCm5.7,MI250 x 8,convnext_large-tf32,8,0,11.98,11.98,0.60%,0.00%,46592,,,
v0.0.7_ROCm5.7,MI250 x 8,convnext_large-tf32-fp16,8,0,26.08,26.08,2.80%,0.20%,26794,,,
v0.0.7_ROCm5.7,MI250 x 8,davit_large,8,0,22.21,22.21,6.80%,0.30%,32883,,,
v0.0.7_ROCm5.7,MI250 x 8,davit_large-multi,1,0,188.78,188.78,18.30%,2.40%,40724,,,
v0.0.7_ROCm5.7,MI250 x 8,dlrm,1,0,336998.92,336998.92,5.20%,0.70%,2074,,,
v0.0.7_ROCm5.7,MI250 x 8,focalnet,8,0,25.34,25.34,1.50%,0.10%,24124,,,
v0.0.7_ROCm5.7,MI250 x 8,opt-1_3b,1,0,14.12,14.12,4.00%,0.70%,-1,,,
v0.0.7_ROCm5.7,MI250 x 8,opt-6_7b,1,0,7.24,7.24,3.50%,0.60%,-1,,,
v0.0.7_ROCm5.7,MI250 x 8,reformer,8,0,20.49,20.49,0.40%,0.00%,24581,,,
v0.0.7_ROCm5.7,MI250 x 8,regnet_y_128gf,8,0,33.03,33.03,5.90%,0.30%,28038,,,
v0.0.7_ROCm5.7,MI250 x 8,resnet152,8,0,487.71,487.71,8.70%,0.40%,32952,,,
v0.0.7_ROCm5.7,MI250 x 8,resnet152-multi,1,0,3421.45,3421.45,14.90%,1.90%,38028,,,
v0.0.7_ROCm5.7,MI250 x 8,resnet50,8,0,398.42,398.42,72.80%,3.30%,4139,,,
v0.0.7_ROCm5.7,MI250 x 8,stargan,8,0,16.9,16.9,49.90%,2.30%,36050,,,
v0.0.7_ROCm5.7,MI250 x 8,super-slomo,8,0,22.78,22.78,15.40%,0.70%,32995,,,
v0.0.7_ROCm5.7,MI250 x 8,t5,8,0,31.49,31.49,3.10%,0.10%,33482,,,
v0.0.7_ROCm5.7,MI250 x 8,whisper,8,0,120.61,120.61,11.60%,0.50%,36815,,,
